treatment	id	game	period	choice	other_choice	session
Control	54	17	7	d	d	contr_1
Control	54	17	8	d	d	contr_1
Control	54	17	9	d	d	contr_1
Control	54	17	10	d	d	contr_1
Control	54	17	11	d	d	contr_1
Control	54	18	1	d	c	contr_1
Control	54	19	1	d	d	contr_1
Control	54	19	2	d	c	contr_1
Control	54	19	3	d	d	contr_1
Control	54	19	4	d	d	contr_1
Control	54	20	1	d	d	contr_1
Control	54	21	1	d	d	contr_1
Control	54	21	2	d	d	contr_1
Control	54	22	1	d	d	contr_1
Control	54	22	2	d	d	contr_1
Control	54	22	3	d	d	contr_1
Control	54	22	4	d	d	contr_1
Control	54	22	5	d	d	contr_1
Control	54	23	1	d	d	contr_1
Control	54	23	2	d	d	contr_1
Control	54	23	3	d	c	contr_1
Control	54	24	1	d	d	contr_1
Control	54	24	2	d	d	contr_1
Control	54	24	3	d	d	contr_1
Control	54	24	4	d	d	contr_1
Control	54	24	5	d	d	contr_1
Control	54	24	6	d	d	contr_1
Control	54	25	1	d	d	contr_1
Control	54	25	2	d	d	contr_1
Control	54	25	3	d	d	contr_1
Control	54	25	4	d	d	contr_1
Control	54	25	5	d	c	contr_1
Control	54	26	1	d	c	contr_1
Control	54	27	1	d	d	contr_1
Control	54	27	2	d	d	contr_1
Control	54	27	3	d	d	contr_1
Control	54	27	4	d	d	contr_1
Control	54	27	5	d	d	contr_1
Control	54	27	6	d	d	contr_1
Control	55	1	1	c	c	contr_1
Control	55	1	2	d	c	contr_1
Control	55	1	3	c	d	contr_1
Control	55	1	4	d	d	contr_1
Control	55	1	5	d	d	contr_1
Control	55	1	6	c	d	contr_1
Control	55	1	7	c	d	contr_1
Control	55	1	8	d	d	contr_1
Control	55	1	9	d	c	contr_1
Control	55	1	10	d	d	contr_1
Control	55	1	11	d	d	contr_1
Control	55	1	12	d	d	contr_1
Control	55	1	13	d	d	contr_1
Control	55	1	14	d	d	contr_1
Control	55	2	1	c	d	contr_1
Control	55	2	2	d	d	contr_1
Control	55	2	3	d	d	contr_1
Control	55	2	4	d	d	contr_1
Control	55	2	5	d	d	contr_1
Control	55	2	6	d	c	contr_1
Control	55	2	7	c	d	contr_1
Control	55	2	8	c	c	contr_1
Control	55	3	1	d	c	contr_1
Control	55	3	2	c	d	contr_1
Control	55	3	3	c	c	contr_1
Control	55	4	1	d	d	contr_1
Control	55	5	1	d	c	contr_1
Control	55	5	2	c	d	contr_1
Control	55	5	3	c	c	contr_1
Control	55	6	1	d	d	contr_1
Control	55	7	1	d	d	contr_1
Control	55	7	2	c	d	contr_1
Control	55	7	3	c	d	contr_1
Control	55	7	4	d	d	contr_1
Control	55	7	5	d	d	contr_1
Control	55	7	6	d	d	contr_1
Control	55	7	7	d	d	contr_1
Control	55	7	8	d	d	contr_1
Control	55	7	9	d	d	contr_1
Control	55	7	10	d	d	contr_1
Control	55	7	11	d	c	contr_1
Control	55	8	1	d	d	contr_1
Control	55	8	2	c	d	contr_1
Control	55	8	3	c	c	contr_1
Control	55	9	1	d	d	contr_1
Control	55	9	2	c	d	contr_1
Control	55	9	3	c	d	contr_1
Control	55	10	1	d	d	contr_1
Control	55	11	1	d	c	contr_1
Control	55	12	1	d	d	contr_1
Control	55	12	2	d	c	contr_1
Control	55	13	1	d	c	contr_1
Control	55	13	2	c	d	contr_1
Control	55	14	1	d	d	contr_1
Control	55	14	2	d	d	contr_1
Control	55	14	3	d	c	contr_1
Control	55	14	4	c	d	contr_1
Control	55	15	1	d	d	contr_1
Control	55	16	1	d	d	contr_1
Control	55	16	2	d	d	contr_1
Control	55	16	3	d	d	contr_1
Control	55	16	4	d	d	contr_1
Control	55	17	1	d	c	contr_1
Control	55	17	2	c	c	contr_1
Control	55	17	3	c	c	contr_1
Control	55	17	4	c	d	contr_1
Control	55	17	5	d	d	contr_1
Control	55	17	6	d	d	contr_1
Control	55	17	7	d	d	contr_1
Control	55	17	8	d	d	contr_1
Control	55	17	9	d	d	contr_1
Control	55	17	10	d	d	contr_1
Control	55	17	11	d	d	contr_1
Control	55	18	1	d	c	contr_1
Control	55	19	1	d	c	contr_1
Control	55	19	2	c	c	contr_1
Control	55	19	3	c	d	contr_1
Control	55	19	4	d	c	contr_1
Control	55	20	1	d	c	contr_1
Control	55	21	1	d	c	contr_1
Control	55	21	2	c	d	contr_1
Control	55	22	1	d	d	contr_1
Control	55	22	2	d	d	contr_1
Control	55	22	3	d	d	contr_1
Control	55	22	4	d	d	contr_1
Control	55	22	5	d	d	contr_1
Control	55	23	1	d	d	contr_1
Control	55	23	2	d	d	contr_1
Control	55	23	3	c	d	contr_1
Control	55	24	1	d	d	contr_1
Control	55	24	2	d	d	contr_1
Control	55	24	3	d	d	contr_1
Control	55	24	4	d	c	contr_1
Control	55	24	5	c	c	contr_1
Control	55	24	6	c	c	contr_1
Control	55	25	1	d	d	contr_1
Control	55	25	2	d	d	contr_1
Control	55	25	3	d	d	contr_1
Control	55	25	4	d	d	contr_1
Control	55	25	5	d	d	contr_1
Control	55	26	1	d	d	contr_1
Control	55	27	1	d	c	contr_1
Control	55	27	2	c	c	contr_1
Control	55	27	3	c	d	contr_1
Control	55	27	4	d	d	contr_1
Control	55	27	5	d	d	contr_1
Control	55	27	6	d	d	contr_1
Control	56	1	1	c	d	contr_1
Control	56	1	2	c	d	contr_1
Control	56	1	3	d	d	contr_1
Control	56	1	4	d	c	contr_1
Control	56	1	5	d	d	contr_1
Control	56	1	6	d	c	contr_1
Control	56	1	7	c	d	contr_1
Control	56	1	8	d	c	contr_1
Control	56	1	9	d	d	contr_1
Control	56	1	10	c	c	contr_1
Control	56	1	11	c	d	contr_1
Control	56	1	12	d	d	contr_1
Control	56	1	13	d	c	contr_1
Control	56	1	14	d	d	contr_1
Control	56	2	1	d	c	contr_1
Control	56	2	2	d	d	contr_1
Control	56	2	3	d	d	contr_1
Control	56	2	4	d	d	contr_1
Control	56	2	5	d	d	contr_1
Control	56	2	6	c	d	contr_1
